MaxSATQueriesinInterpretableClassifiers-adult_train_3_CNF_5_1.wcnf.gz,4912
MaxSATQueriesinInterpretableClassifiers-compas_train_4_DNF_4_1.wcnf.gz,2087
MaxSATQueriesinInterpretableClassifiers-compas_train_4_DNF_5_1.wcnf.gz,2083
MaxSATQueriesinInterpretableClassifiers-credit_test_0_CNF_4_1.wcnf.gz,517
MaxSATQueriesinInterpretableClassifiers-credit_train_0_CNF_2_1.wcnf.gz,5307
MaxSATQueriesinInterpretableClassifiers-credit_train_1_CNF_3_1.wcnf.gz,5603
MaxSATQueriesinInterpretableClassifiers-credit_train_4_CNF_5_1.wcnf.gz,4891
MaxSATQueriesinInterpretableClassifiers-credit_train_6_DNF_3_1.wcnf.gz,4884
MaxSATQueriesinInterpretableClassifiers-heart_train_0_CNF_5_1.wcnf.gz,46
MaxSATQueriesinInterpretableClassifiers-heart_train_1_DNF_3_1.wcnf.gz,46
MaxSATQueriesinInterpretableClassifiers-heart_train_4_CNF_5_1.wcnf.gz,45
MaxSATQueriesinInterpretableClassifiers-ionosphere_train_1_CNF_3_1.wcnf.gz,22
MaxSATQueriesinInterpretableClassifiers-ionosphere_train_1_CNF_4_1.wcnf.gz,22
MaxSATQueriesinInterpretableClassifiers-tictactoe_train_6_CNF_4_1.wcnf.gz,118
MaxSATQueriesinInterpretableClassifiers-toms_test_1_DNF_2_1.wcnf.gz,59
MaxSATQueriesinInterpretableClassifiers-toms_train_1_CNF_2_1.wcnf.gz,734
MaxSATQueriesinInterpretableClassifiers-toms_train_4_DNF_5_1.wcnf.gz,644
MaxSATQueriesinInterpretableClassifiers-twitter_test_1_CNF_2_1.wcnf.gz,172
MaxSATQueriesinInterpretableClassifiers-wdbc_train_7_DNF_5_1.wcnf.gz,21
MaximumCommonSub-GraphExtraction-g10_n13e12_n13e12_n14e13_n14e13_n14e13_n14e13_n14e13_n15e13_n15e14_n15e14.wcnf.gz,1
MaximumCommonSub-GraphExtraction-g2_n13e12_n46e57.wcnf.gz,1
MaximumCommonSub-GraphExtraction-g2_n35e34_n58e61.wcnf.gz,21
MaximumCommonSub-GraphExtraction-g2_n42e55_n44e53.wcnf.gz,33
MaximumCommonSub-GraphExtraction-g2_n57e60_n61e85.wcnf.gz,44
MaximumCommonSub-GraphExtraction-g2_n61e68_n73e75.wcnf.gz,48
MaximumCommonSub-GraphExtraction-g2_n63e71_n74e99.wcnf.gz,53
MaximumCommonSub-GraphExtraction-g2_n67e83_n68e73.wcnf.gz,50
MaximumCommonSub-GraphExtraction-g3_n46e48_n58e61_n75e81.wcnf.gz,35
MaximumCommonSub-GraphExtraction-g4_n47e58_n55e66_n61e85_n67e83.wcnf.gz,44
MaximumCommonSub-GraphExtraction-g4_n56e84_n61e85_n62e78_n63e71.wcnf.gz,74
SeanSafarpour-SM_AS_TOP_buggy1.dimacs.filtered.wcnf.gz,57
SeanSafarpour-SM_MAIN_MEM_buggy1.dimacs.filtered.wcnf.gz,390
SeanSafarpour-rsdecoder-problem.dimacs_38.filtered.wcnf.gz,2
SeanSafarpour-rsdecoder-problem.dimacs_41.filtered.wcnf.gz,2
SeanSafarpour-rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.wcnf.gz,3
SeanSafarpour-rsdecoder4.dimacs.filtered.wcnf.gz,4
SeanSafarpour-rsdecoder6.dimacs.filtered.wcnf.gz,3
